Vref,Vin,Iin,Vout,Iout
1.00E-03,17.62,0.0032,0.9,0.0122
1.002,17.6,0.0082,1.82,0.0224
1.999,17.58,0.017,2.8,0.0338
3,17.44,0.028,3.78,0.0438
3.99,17.38,0.042,4.62,0.0536
5.01,17.24,0.0586,5.5,0.0636
5.99,17.16,0.0772,6.38,0.0738
7,16.98,0.099,7.36,0.0838
7.98,16.7,0.1242,8.3,0.094
8.98,16.3,0.154,9.18,0.104
9.99,15.18,0.196,10.08,0.1138
10.99,0.22,0.24,0,0
