# 120cmで光照射,
# 電流,電圧
I,V
0.0008,17.2
0.082,0.6
0.082,3.95
0.08,7.5
0.079,11
0.074,13.4
0.07,13.9
0.062,15
0.053,15.8
0.028,16.75
