# 入力電圧V_i[V],出力電圧V_o[V],入力電流I_i [A],出力電流I_o [A],入力電力 [W],出力電力 [W],電力変換効率
V_i,V_o,I_i,I_o,P_i,P_o,eta
16.00,23.82,0.477,0.059,7.632,1.40538,0.1841430818
12.00,17.80,0.359,0.044,4.308,0.7832,0.1818012999
8.00,11.80,0.235,0.030,1.88,0.354,0.1882978723
4.00,5.78,0.115,0.015,0.46,0.0867,0.1884782609
0.20,0.26,0.007,0.000,0.0014,0,0
