# 120cmで光照射,
# 電流,電圧
I,V
0.099,5.20
0.098,9.38
0.102,2.60
0.102,0.80
0.095,12.18
0.0885,14.15
0.0785,15.2
0.0680,15.98
0.0595,16.3
0.0338,16.9
0.0005,17.5
