# 入力電圧V_i[V],出力電圧V_o[V],入力電流I_i [A],出力電流I_o [A],入力電力 [W],出力電力 [W],電力変換効率
V_i,V_o,I_i,I_o,P_i,P_o,eta
16.00,5.30,0.031,0.013,0.496,0.0689,0.1389112903
12.00,3.98,0.023,0.01,0.276,0.0398,0.1442028986
8.02,2.70,0.017,0.008,0.13634,0.0216,0.1584274608
4.00,1.40,0.01,0.002,0.04,0.0028,0.07
0.20,0.01,0.001,0,0.0002,0,0
