# 入力電圧V_i[V],出力電圧V_o[V],入力電流I_i [A],出力電流I_o [A],入力電力 [W],出力電力 [W],電力変換効率
V_i,V_o,I_i,I_o,P_i,P_o,eta
16.00,2.38,0.009,0.007,0.144,0.01666,0.1156944444
11.98,1.76,0.006,0.003,0.07188,0.00528,0.0734557596
8.00,1.20,0.005,0.002,0.04,0.0024,0.06
4.00,0.60,0.003,0.001,0.012,0.0006,0.05
0.20,0.02,0.001,0,0.0002,0,0
